"ACOPIARA+CE" 2
"ALAGOA GRANDE+PB" 2
"ALAGOA NOVA+PB" 1
"ALAGOINHA+PB" 1
"ALGODÃO DE JANDAÍRA+PB" 1
"AREIA+PB" 2
"BANANEIRAS+PB" 1
"BOQUEIRÃO+PB" 1
"BRASÍLIA+DF" 2
"BREJO DO CRUZ+PB" 1
"CACHOEIRA DOS ÍNDIOS+PB" 1
"CAICÓ+RN" 2
"CAJAZEIRAS+PB" 2
"CAMPINA GRANDE DO SUL+PR" 1
"CAMPINA GRANDE+PB" 184
"CARUARU+PE" 4
"CATOLÉ DO ROCHA+PB" 6
"COREMAS+PB" 2
"CRATO+CE" 2
"CUITÉ+PB" 3
"CURITIBA+PR" 1
"ESPERANÇA+PB" 4
"FAGUNDES+PB" 1
"FEIRA DE SANTANA+BA" 2
"FORTALEZA+CE" 2
"GARANHUNS+PE" 1
"GUARABIRA+PB" 2
"GURJÃO+PB" 1
"IGUATU+CE" 1
"ITABAIANA+PB" 1
"ITAPORANGA+PB" 2
"JABOATÃO DOS GUARARAPES+PE" 2
"JOÃO PESSOA+PB" 23
"JUAZEIRINHO+PB" 2
"JUAZEIRO DO NORTE+CE" 3
"LAGOA SECA+PB" 1
"MACAPARANA+PE" 1
"MACEIÓ+AL" 2
"MARABÁ+PA" 2
"MASSARANDUBA+PB" 1
"MONTEIRO+PB" 1
"MOSSORÓ+RN" 1
"NATUBA+PB" 1
"PALMARES+PE" 1
"PALMEIRA DOS ÍNDIOS+AL" 1
"PARELHAS+RN" 1
"PATOS+PB" 1
"PAULO AFONSO+BA" 1
"PESQUEIRA+PE" 1
"PETROLINA+PE" 1
"PLANALTINA+DF" 1
"RECIFE+PE" 8
"REGISTRO+SP" 1
"RIO DE JANEIRO+RJ" 6
"RONDONÓPOLIS+MT" 1
"SALTO+SP" 1
"SANTA CRUZ DO CAPIBARIBE+PE" 1
"SANTA LUZIA+PB" 1
"SANTA TEREZINHA+NA" 1
"SERRA TALHADA+PE" 1
"SÃO BENTO+PB" 1
"SÃO CAETANO+PE" 1
"SÃO JOSÉ DO EGITO+PE" 1
"SÃO JOSÉ DOS CAMPOS+SP" 1
"SÃO PAULO+SP" 8
"SOUSA+PB" 1
"TERESINA+PI" 1
"TIMBAÚBA+PE" 1
"TOULOUSE+FRANÇA" 1
"TUCURUÍ+PA" 1
