"periodo_evasao";"id_aluno";"codigo_curso";"periodo_ingressao";"codigo_ingressao";"codigo_evasao";"nota_ingressao";"naturalidade";"estado";"tipo_ensino";"cotista";"ano_nascimento";"genero";"matricula"
1983.1;43701663491;21312110;1980.1;1;1;NA;NA;NA;NA;NA;1957;"F";280130909
1983.1;23818565449;21309210;1980.1;1;1;NA;NA;NA;NA;NA;1960;"F";280130837
1983.1;13600079468;13305110;1981.1;5;1;NA;"SÃO JOÃO DO CARIRI";"PB";NA;NA;1955;"F";181130298
1983.2;4865804404;11124100;1974.1;2;1;NA;NA;NA;NA;NA;1948;"M";174110330
1983.2;18106307468;15122100;1977.2;1;1;686;NA;NA;NA;NA;1958;"M";177210232
1983.2;16055420406;15122100;1978.1;1;1;527;NA;NA;NA;NA;1956;"M";178110045
1983.2;38173506434;15122100;1979.1;1;1;635;NA;NA;NA;NA;1961;"M";179110339
1983.2;28004477453;14123100;1979.1;1;1;778;NA;NA;NA;NA;1959;"M";179110047
1983.2;23630396453;13304100;1980.1;1;1;632;NA;NA;NA;NA;1957;"M";180130009
1983.2;20368712400;21309210;1980.2;1;1;NA;NA;NA;NA;NA;1958;"F";280230063
1983.2;23823518453;11124100;1981.2;1;2;NA;NA;NA;NA;NA;1958;"M";181210047
1984.1;7628447449;15122100;1976.1;2;1;439;NA;NA;NA;NA;1950;"M";176110221
1984.1;10984976434;15122100;1979.2;2;1;539;NA;NA;NA;NA;1954;"M";179210264
1984.1;13279696453;21316210;1980.1;2;1;NA;NA;NA;NA;NA;1948;"F";280130646
1984.1;57841551800;13304100;1983.1;2;1;NA;NA;NA;NA;NA;1948;"M";183130011
1984.1;16094182472;15122100;1977.1;8;4;NA;NA;NA;NA;NA;1955;"M";177110321
1984.2;20485725415;11128100;1979.2;1;1;528;NA;NA;NA;NA;1959;"M";179210169
1984.2;32514123453;15122100;1979.2;1;1;568;NA;NA;NA;NA;1961;"M";179210072
1984.2;46858245472;12205100;1980.1;2;1;NA;NA;NA;NA;NA;1961;"F";180120377
1984.2;28857488420;15122100;1980.1;1;1;630;NA;NA;NA;NA;1962;"F";180110228
1984.2;55344054491;21316210;1981.1;1;1;NA;NA;NA;NA;NA;1961;"F";281130622
1984.2;21999961404;11107150;1979.1;1;4;682;NA;NA;NA;NA;1960;"M";179110229
1985.1;20315244453;15127100;1978.2;2;1;588;NA;NA;NA;NA;1958;"M";178210415
1985.1;23796740430;15127100;1978.2;2;1;546;NA;NA;NA;NA;1956;"M";178210410
1985.1;20708114415;21309210;1980.1;1;1;NA;"SOUSA";"PB";NA;NA;1957;"F";280130855
1985.1;39568466487;14123100;1980.1;1;1;766;NA;NA;NA;NA;1961;"M";180110148
1985.1;14647354415;15121100;1980.1;1;1;640;NA;NA;NA;NA;1957;"M";180110340
1985.1;26283450442;21312110;1982.1;1;1;571;NA;NA;NA;NA;1900;"F";282130544
1985.1;50727346415;13304100;1982.1;1;1;686;NA;NA;NA;NA;1965;"M";182130072
1985.1;30913578487;11126100;1980.1;3;4;NA;NA;NA;NA;NA;1957;"M";180110457
1985.1;35521872434;11128100;1981.1;8;4;679;NA;NA;NA;NA;1961;"M";181110389
1985.1;16244346491;13304100;1981.1;1;4;627;NA;NA;NA;NA;1959;"M";181130261
1985.1;40867749415;13304100;1984.1;1;4;628;"CONGO";"PB";NA;NA;1963;"M";184130229
1985.2;20479042420;14123100;1978.1;1;1;730;NA;NA;NA;NA;1960;"M";178110068
1985.2;43687695468;12205100;1980.1;1;1;672;NA;NA;NA;NA;1962;"M";180120002
1985.2;49596780468;15122100;1981.1;1;1;698;NA;NA;NA;NA;1964;"F";181110152
1985.2;35114363468;14123100;1981.1;1;1;714;NA;NA;NA;NA;1963;"M";181110079
1985.2;21894566491;11128100;1979.2;1;4;546;NA;NA;NA;NA;1959;"F";179210013
1986.1;18175131468;21309210;1981.1;1;1;510;"POMBAL";"PB";NA;NA;1958;"M";281130647
1986.1;27911209472;15122100;1981.1;1;1;636;NA;NA;NA;NA;1961;"M";181110156
1986.1;38010763420;15108100;1982.1;1;1;564;NA;NA;NA;NA;1961;"M";182110426
1986.2;44164858400;15122100;1978.1;1;1;688;NA;NA;NA;NA;1958;"F";178110003
1986.2;32518480463;15127100;1980.1;1;1;553;NA;NA;NA;NA;1961;"M";180110182
1986.2;32350830497;12205100;1980.1;1;1;698;NA;NA;NA;NA;1961;"F";180120056
1986.2;36711799453;12205100;1981.1;1;1;700;NA;NA;NA;NA;1963;"M";181120056
1986.2;25088092415;12205100;1981.1;1;1;685;NA;NA;NA;NA;1946;"F";181120024
1986.2;33567384491;15122100;1981.2;1;1;597;NA;NA;NA;NA;1963;"M";181210011
1986.2;37693573453;14123100;1982.1;1;1;691;NA;NA;NA;NA;1964;"M";182110104
1986.2;42466075415;21312110;1983.2;1;1;NA;NA;NA;NA;NA;1964;"F";283230038
1987.1;33826862449;11126100;1980.1;1;1;519;NA;NA;NA;NA;1961;"F";180110309
1987.1;42755000406;15122100;1981.2;1;1;600;NA;NA;NA;NA;1963;"M";181210033
1987.1;18147887434;13301100;1981.2;1;1;555;NA;NA;NA;NA;1959;"F";181230041
1987.1;50385666420;15122100;1982.2;1;1;624;NA;NA;NA;NA;1964;"M";182210078
1987.1;34482938572;14102100;1983.1;1;1;709;NA;NA;NA;NA;1965;"M";183110318
1987.1;54157420420;13301100;1983.1;1;1;600;NA;NA;NA;NA;1965;"F";183130330
1987.1;20346441404;13301100;1983.1;2;1;501;"ALAGOINHA";"PB";NA;NA;1955;"F";183130006
1987.1;29965110425;41410100;1983.1;1;1;595;NA;NA;NA;NA;1900;"M";483120417
1987.1;40922000491;21316210;1983.2;1;1;503;NA;NA;NA;NA;1962;"F";283230161
1987.2;1542005493;15121100;1981.1;3;1;NA;NA;NA;NA;NA;1958;"M";181110206
1987.2;19880596404;14123100;1981.1;1;1;764;NA;NA;NA;NA;1960;"M";181110073
1987.2;41943325472;12205100;1982.1;1;1;858;NA;NA;NA;NA;1964;"F";182120114
1987.2;42787505449;15122100;1982.1;1;1;636;NA;NA;NA;NA;1964;"M";182110202
1987.2;62149261472;15122100;1983.1;1;1;632;NA;NA;NA;NA;1982;"M";183110424
1987.2;42787122434;14123100;1983.2;1;1;646;NA;NA;NA;NA;1900;"M";183210374
1987.2;60231084404;14102100;1984.1;1;1;818;NA;NA;NA;NA;1900;"F";184110103
1987.2;32793260444;15127100;1984.2;2;1;NA;NA;NA;NA;NA;1962;"M";184210251
1987.2;6982492400;11128100;1977.1;2;4;547;NA;NA;NA;NA;1951;"M";177110504
1987.2;23678550487;15127100;1980.1;1;4;555;NA;NA;NA;NA;1960;"M";180110173
1987.2;49100700444;15122100;1983.1;1;4;619;NA;NA;NA;NA;1963;"F";183110440
1988.1;48632651404;11128100;1982.2;1;1;560;NA;NA;NA;NA;1964;"F";182210225
1988.1;42521548472;41410100;1983.1;1;1;588;NA;NA;NA;NA;1965;"F";483120409
1988.2;2519127449;15122100;1974.2;2;1;NA;NA;NA;NA;NA;1940;"M";174210224
1988.2;16095928400;15122100;1979.2;2;1;489;NA;NA;NA;NA;1958;"M";179210265
1988.2;25157256434;21309210;1981.1;1;1;562;NA;NA;NA;NA;1961;"M";281130667
1988.2;28788320430;41403100;1983.1;1;1;490;NA;NA;NA;NA;1962;"M";483110549
1988.2;38173905487;15122100;1983.1;1;1;632;NA;NA;NA;NA;1900;"M";183110435
1988.2;51899698434;13301100;1984.1;1;1;687;"INGÁ";"PB";NA;NA;1966;"M";184130127
1988.2;71453792449;13301100;1984.2;1;1;570;NA;NA;NA;NA;1900;"F";184230117
1989.1;18194206472;13304100;1981.2;1;1;538;NA;NA;NA;NA;1954;"F";181230102
